dataset,vocab_size,total_events,num_train_tokens,num_val_tokens,num_train_events,num_val_events,batch_size,block_size,learning_rate,min_learning_rate,training_time_seconds,best_train_loss,best_val_loss,epochs_trained,trained_iterations,coverage,mmd,kpd_median,kpd_error,fpd_value,fpd_error
dataset_1_1,371,9913,2151772,239324,8029,893,64,256,0.001,0.0001,1516.134735,0.5248144865036011,0.5387779474258423,9.541984732824428,1250,0.45,19516.967683125742,0.0030345823752928602,0.00020828117617994134,0.08472814094260192,0.0016349301256558377
dataset_1_2,675,9913,2151772,239324,8029,893,64,256,0.0001,1e-05,1595.174886,0.6336575150489807,0.6438329815864563,11.450381679389313,1500,0.552,17238.3989989545,0.000337014635710009,6.831787849472226e-05,0.059661659517994695,0.0015824022216301952
dataset_1_3,675,9913,2151772,239324,8029,893,64,256,1e-06,1e-07,14263.584939,0.8564811944961548,0.8514603972434998,141.22137404580153,18500,0.30900000000000005,23461.59069247084,0.02041304433578084,0.009174424278490882,0.21450608864790102,0.0061153213333647516
dataset_1_4,675,9913,2151772,239324,8029,893,8,256,0.001,0.0001,752.550491,0.6281187534332275,0.6322646141052246,1.6666666666666667,1750,0.534,17022.238641368298,0.00039126534063771423,5.385866198673027e-05,0.05397997772914346,0.001527284187885724
dataset_1_5,675,9913,2151772,239324,8029,893,8,256,0.001,0.0001,781.129527,0.6315993666648865,0.6380734443664551,1.6666666666666667,1750,0.5599999999999999,22382.1504984055,751093148606.6228,4317392167928.967,1819.6782646097586,56.57873878203183
dataset_2_2_1,3475,99212,20411694,2268220,80361,8930,64,256,0.0001,1e-05,8758.798324,0.8570441603660583,0.8696693181991577,7.429718875502008,9250,0.5349999999999999,36566.07572448203,1.1369467020840314e+20,2.0174813507676665e+20,142178.53291024888,1964.4336140073385
dataset_2_2_2,3475,99212,20411694,2268220,80361,8930,1024,256,0.0001,1e-05,57060.478206,0.8685399889945984,0.8754279613494873,58.44155844155844,4500,0.5340000000000001,39710.97821409262,1.496154484499547e+19,1.6669967781477843e+19,174067.55236116267,8826.620682723933
dataset_3_1_1,3466,9913,2151772,239324,8029,893,64,256,0.0001,1e-05,1239.55266,0.8276411294937134,0.8689336180686951,11.450381679389313,1500,0.548,40247.645299984244,5.018473193862562e+24,9.525035176676702e+25,5585824.4444637,95842.07762495901
dataset_3_1_2,3466,9913,2151772,239324,8029,893,64,256,1e-05,1e-06,6891.827586,0.8309728503227234,0.8563911318778992,64.8854961832061,8500,0.546,39042.42620848964,1.5799447750656186e+29,7.11895677317709e+29,35997435.74108258,654468.092685059
dataset_3_1_3,3466,9913,2151772,239324,8029,893,256,256,1e-05,1e-06,21563.832675,0.821928083896637,0.858837366104126,203.125,6500,0.524,38705.959016799665,2.704706349867205e+29,8.520462059594533e+29,43791372.71760534,578519.6260556942
dataset_5_2_1,559,9921462,2554562035,283840483,8839315,982147,512,512,0.001,0.0001,46464.529668,0.5416975617408752,0.5421044826507568,0.38485221674876846,3750,0.555,19373.169401317788,0.0038536785424925224,9.71320819781892e-05,0.05293386951001648,0.0007221758035262178
dataset_5_2_2,559,9921462,2554562035,283840483,8839315,982147,400,512,0.001,0.0001,21032.862013,0.5729421377182007,0.572546660900116,0.08017317405596087,1000,0.543,20301.277956199563,0.0016427989504386176,8.763365881209726e-05,0.022354940035195496,0.00038598124535047613
dataset_5_2_3,559,9921462,2554562035,283840483,8839315,982147,1024,512,0.001,0.0001,9075.838196,0.5844382643699646,0.5847070813179016,0.1539408866995074,750,0.549,19610.7268176341,0.0035203499940350547,0.00015830701846738441,0.05594838242727151,0.000806535455646753
dataset_5_2_4,559,9921462,2554562035,283840483,8839315,982147,512,256,0.001,0.0001,42400.507186,0.5679910182952881,0.5666274428367615,0.11544974087947046,2250,0.5549999999999999,19879.467503048883,0.002648726009208957,0.00012487676905486894,0.0317743813023915,0.00040565153538536656
dataset_5_2_5,559,9921462,2554562035,283840483,8839315,982147,512,289,0.001,0.0001,8955.905534,0.5679800510406494,0.5659655332565308,-0.000150319308274637,750,0.552,19501.41904560457,0.0022655174704087067,7.430349819873114e-05,0.02371877345871629,0.00011319151269867256
dataset_5_2_6,559,9921462,2554562035,283840483,8839315,982147,8,578,0.001,1e-05,944.713585,0.5662652850151062,0.559766948223114,-4.697478398293274e-06,1500,0.547,21668.26492048569,0.0020510587637707633,0.0001602648385759743,0.04078612603204015,0.0004703334101015339
dataset_5_2_7,559,9921462,2554562035,283840483,8839315,982147,8,1156,0.0001,1e-06,7919.347114,0.5958932638168335,0.5927131772041321,-2.3487391991466373e-05,7500,0.534,21902.20475776783,0.013822440441408235,0.0010509943869300986,0.36355408194586103,0.0062368024785005235
dataset_5_2_8,559,9921462,2554562035,283840483,8839315,982147,64,1156,0.0001,1e-06,12505.659367,0.6262097358703613,0.6274634599685669,-4.384313158010245e-05,1750,0.5030000000000001,25547.72906416244,0.011714023123206019,0.0010774661300555835,0.3096281862928166,0.006117578407825822
dataset_5_2_9,559,9921462,2554562035,283840483,8839315,982147,64,1156,0.0001,1e-05,13290.246457,0.5713419318199158,0.5697383284568787,-5.0106436091545665e-05,2000,0.5469999999999999,22214.947911793624,0.1093092155540003,0.07897657352757545,1.1468034996018277,0.019124792952697027
